lead_id,company_name,industry,annual_revenue_usd,architecture_type,pain_points,compliance_needs,urgency,contact_email,recent_news,stock_trend,bankruptcy_flag,funding_event
LEAD-B036,FinTrust Commercial Bank 36,Banking,1031000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust36.com,SOX 404 audit automation initiative,UP_5PCT,NORMAL,NONE
LEAD-B037,Capital Meridian Union 37,Banking,966000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust37.com,Merged with Regional Credit Union,UP_12PCT,NORMAL,MERGER
LEAD-B038,FinTrust Commercial Bank 38,Banking,1238000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust38.com,SOX 404 audit automation initiative,UP_11PCT,NORMAL,NONE
LEAD-B039,Capital Meridian Union 39,Banking,1096000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust39.com,SOX 404 audit automation initiative,UP_3PCT,NORMAL,NONE
LEAD-B040,FinTrust Commercial Bank 40,Banking,488000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust40.com,SOX 404 audit automation initiative,UP_5PCT,NORMAL,NONE
LEAD-B041,Capital Meridian Union 41,Banking,545000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust41.com,SOX 404 audit automation initiative,UP_1PCT,NORMAL,NONE
LEAD-B042,FinTrust Commercial Bank 42,Banking,1286000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust42.com,SOX 404 audit automation initiative,UP_12PCT,NORMAL,NONE
LEAD-B043,Capital Meridian Union 43,Banking,1210000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust43.com,SOX 404 audit automation initiative,UP_1PCT,NORMAL,NONE
LEAD-B044,FinTrust Commercial Bank 44,Banking,742000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust44.com,FDIC receivership and distressed buyout,DOWN_95PCT,BANKRUPTCY,NONE
LEAD-B045,Capital Meridian Union 45,Banking,217000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust45.com,SOX 404 audit automation initiative,UP_1PCT,NORMAL,NONE
LEAD-B046,FinTrust Commercial Bank 46,Banking,1296000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust46.com,SOX 404 audit automation initiative,UP_8PCT,NORMAL,NONE
LEAD-B047,Capital Meridian Union 47,Banking,1129000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust47.com,SOX 404 audit automation initiative,UP_15PCT,NORMAL,NONE
LEAD-B048,FinTrust Commercial Bank 48,Banking,1187000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust48.com,SOX 404 audit automation initiative,UP_3PCT,NORMAL,NONE
LEAD-B049,Capital Meridian Union 49,Banking,216000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust49.com,SOX 404 audit automation initiative,UP_9PCT,NORMAL,NONE
LEAD-B050,FinTrust Commercial Bank 50,Banking,264000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust50.com,SOX 404 audit automation initiative,UP_14PCT,NORMAL,NONE
