lead_id,company_name,industry,annual_revenue_usd,architecture_type,pain_points,compliance_needs,urgency,contact_email,recent_news,stock_trend,bankruptcy_flag,funding_event
LEAD-H032,Coastal Retreats 32,Hospitality,637000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup32.com,Upgrading PMS booking systems,UP_13PCT,NORMAL,NONE
LEAD-H033,Grand Resort & Hotel Group 33,Hospitality,410000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup33.com,Upgrading PMS booking systems,UP_8PCT,NORMAL,NONE
LEAD-H034,Coastal Retreats 34,Hospitality,181000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",Medium,gm@hotelgroup34.com,Filing Chapter 11 after travel slump,DOWN_90PCT,BANKRUPTCY,NONE
LEAD-H035,Alpine Luxury Suites 35,Hospitality,561000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup35.com,Upgrading PMS booking systems,UP_16PCT,NORMAL,NONE
LEAD-H036,Grand Resort & Hotel Group 36,Hospitality,133000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",Medium,gm@hotelgroup36.com,Upgrading PMS booking systems,UP_2PCT,NORMAL,NONE
LEAD-H037,Alpine Luxury Suites 37,Hospitality,152000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",Medium,gm@hotelgroup37.com,Upgrading PMS booking systems,UP_5PCT,NORMAL,NONE
LEAD-H038,Coastal Retreats 38,Hospitality,682000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup38.com,Upgrading PMS booking systems,UP_6PCT,NORMAL,NONE
LEAD-H039,Grand Resort & Hotel Group 39,Hospitality,736000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup39.com,Upgrading PMS booking systems,UP_14PCT,NORMAL,NONE
LEAD-H040,Coastal Retreats 40,Hospitality,650000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup40.com,Upgrading PMS booking systems,UP_3PCT,NORMAL,NONE
LEAD-H041,Alpine Luxury Suites 41,Hospitality,434000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup41.com,Upgrading PMS booking systems,UP_13PCT,NORMAL,NONE
LEAD-H042,Grand Resort & Hotel Group 42,Hospitality,650000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup42.com,Upgrading PMS booking systems,UP_15PCT,NORMAL,NONE
LEAD-H043,Alpine Luxury Suites 43,Hospitality,581000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup43.com,Upgrading PMS booking systems,UP_9PCT,NORMAL,NONE
LEAD-H044,Coastal Retreats 44,Hospitality,606000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup44.com,Upgrading PMS booking systems,UP_1PCT,NORMAL,NONE
LEAD-H045,Grand Resort & Hotel Group 45,Hospitality,736000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup45.com,Acquired 5 boutique hotels in Europe,UP_4PCT,NORMAL,ACQUISITION
LEAD-H046,Coastal Retreats 46,Hospitality,738000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup46.com,Upgrading PMS booking systems,UP_18PCT,NORMAL,NONE
LEAD-H047,Alpine Luxury Suites 47,Hospitality,808000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup47.com,Upgrading PMS booking systems,UP_9PCT,NORMAL,NONE
LEAD-H048,Grand Resort & Hotel Group 48,Hospitality,827000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup48.com,Upgrading PMS booking systems,UP_11PCT,NORMAL,NONE
LEAD-H049,Alpine Luxury Suites 49,Hospitality,154000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",Medium,gm@hotelgroup49.com,Upgrading PMS booking systems,UP_10PCT,NORMAL,NONE
LEAD-H050,Coastal Retreats 50,Hospitality,485000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup50.com,Upgrading PMS booking systems,UP_6PCT,NORMAL,NONE
