lead_id,company_name,industry,annual_revenue_usd,architecture_type,pain_points,compliance_needs,urgency,contact_email,recent_news,stock_trend,bankruptcy_flag,funding_event
LEAD-R011,StyleMart Supercenter 11,Retail,215000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",Medium,retail_ops@omnistore11.com,Liquidating 40 physical stores due to bankruptcy,DOWN_82PCT,BANKRUPTCY,NONE
LEAD-R012,OmniStore Outlet 12,Retail,602000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore12.com,Deploying POS failover systems,UP_27PCT,NORMAL,NONE
LEAD-R013,StyleMart Supercenter 13,Retail,593000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore13.com,Deploying POS failover systems,UP_3PCT,NORMAL,NONE
LEAD-R014,OmniStore Outlet 14,Retail,663000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore14.com,Deploying POS failover systems,UP_13PCT,NORMAL,NONE
LEAD-R015,StyleMart Supercenter 15,Retail,550000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore15.com,Deploying POS failover systems,UP_3PCT,NORMAL,NONE
LEAD-R016,OmniStore Outlet 16,Retail,164000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",Medium,retail_ops@omnistore16.com,Deploying POS failover systems,UP_14PCT,NORMAL,NONE
LEAD-R017,StyleMart Supercenter 17,Retail,949000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore17.com,Deploying POS failover systems,UP_28PCT,NORMAL,NONE
LEAD-R018,OmniStore Outlet 18,Retail,364000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore18.com,Deploying POS failover systems,UP_10PCT,NORMAL,NONE
LEAD-R019,StyleMart Supercenter 19,Retail,109000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",Medium,retail_ops@omnistore19.com,Deploying POS failover systems,UP_10PCT,NORMAL,NONE
LEAD-R020,OmniStore Outlet 20,Retail,949000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore20.com,Deploying POS failover systems,UP_21PCT,NORMAL,NONE
LEAD-R021,StyleMart Supercenter 21,Retail,130000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",Medium,retail_ops@omnistore21.com,Deploying POS failover systems,UP_5PCT,NORMAL,NONE
LEAD-R022,OmniStore Outlet 22,Retail,799000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore22.com,Deploying POS failover systems,UP_18PCT,NORMAL,NONE
LEAD-R023,StyleMart Supercenter 23,Retail,885000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore23.com,E-commerce GMV surged 55%,UP_5PCT,NORMAL,GROWTH
LEAD-R024,OmniStore Outlet 24,Retail,828000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore24.com,Deploying POS failover systems,UP_20PCT,NORMAL,NONE
LEAD-R025,StyleMart Supercenter 25,Retail,834000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore25.com,Deploying POS failover systems,UP_7PCT,NORMAL,NONE
LEAD-R026,OmniStore Outlet 26,Retail,181000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",Medium,retail_ops@omnistore26.com,Deploying POS failover systems,UP_24PCT,NORMAL,NONE
LEAD-R027,StyleMart Supercenter 27,Retail,536000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore27.com,Deploying POS failover systems,UP_20PCT,NORMAL,NONE
LEAD-R028,OmniStore Outlet 28,Retail,219000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",Medium,retail_ops@omnistore28.com,Deploying POS failover systems,UP_11PCT,NORMAL,NONE
LEAD-R029,StyleMart Supercenter 29,Retail,590000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore29.com,Deploying POS failover systems,UP_22PCT,NORMAL,NONE
LEAD-R030,OmniStore Outlet 30,Retail,483000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore30.com,Deploying POS failover systems,UP_9PCT,NORMAL,NONE
LEAD-R031,StyleMart Supercenter 31,Retail,602000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore31.com,Deploying POS failover systems,UP_27PCT,NORMAL,NONE
LEAD-R032,OmniStore Outlet 32,Retail,797000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore32.com,Deploying POS failover systems,UP_25PCT,NORMAL,NONE
LEAD-R033,StyleMart Supercenter 33,Retail,255000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore33.com,Deploying POS failover systems,UP_25PCT,NORMAL,NONE
LEAD-R034,OmniStore Outlet 34,Retail,369000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore34.com,Deploying POS failover systems,UP_15PCT,NORMAL,NONE
LEAD-R035,StyleMart Supercenter 35,Retail,737000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore35.com,Deploying POS failover systems,UP_23PCT,NORMAL,NONE
LEAD-R036,OmniStore Outlet 36,Retail,432000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore36.com,Deploying POS failover systems,UP_17PCT,NORMAL,NONE
LEAD-R037,StyleMart Supercenter 37,Retail,971000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore37.com,Deploying POS failover systems,UP_19PCT,NORMAL,NONE
LEAD-R038,OmniStore Outlet 38,Retail,512000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore38.com,E-commerce GMV surged 55%,UP_6PCT,NORMAL,GROWTH
LEAD-R039,StyleMart Supercenter 39,Retail,303000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore39.com,Deploying POS failover systems,UP_10PCT,NORMAL,NONE
LEAD-R040,OmniStore Outlet 40,Retail,115000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",Medium,retail_ops@omnistore40.com,Deploying POS failover systems,UP_13PCT,NORMAL,NONE
LEAD-R041,StyleMart Supercenter 41,Retail,71000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",Medium,retail_ops@omnistore41.com,Liquidating 40 physical stores due to bankruptcy,DOWN_82PCT,BANKRUPTCY,NONE
LEAD-R042,OmniStore Outlet 42,Retail,652000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore42.com,Deploying POS failover systems,UP_20PCT,NORMAL,NONE
LEAD-R043,StyleMart Supercenter 43,Retail,285000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore43.com,Deploying POS failover systems,UP_21PCT,NORMAL,NONE
LEAD-R044,OmniStore Outlet 44,Retail,275000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore44.com,Deploying POS failover systems,UP_3PCT,NORMAL,NONE
LEAD-R045,StyleMart Supercenter 45,Retail,122000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",Medium,retail_ops@omnistore45.com,Deploying POS failover systems,UP_25PCT,NORMAL,NONE
LEAD-R046,OmniStore Outlet 46,Retail,696000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore46.com,Deploying POS failover systems,UP_4PCT,NORMAL,NONE
LEAD-R047,StyleMart Supercenter 47,Retail,284000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore47.com,Deploying POS failover systems,UP_5PCT,NORMAL,NONE
LEAD-R048,OmniStore Outlet 48,Retail,977000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore48.com,Deploying POS failover systems,UP_4PCT,NORMAL,NONE
LEAD-R049,StyleMart Supercenter 49,Retail,930000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore49.com,Deploying POS failover systems,UP_13PCT,NORMAL,NONE
LEAD-R050,OmniStore Outlet 50,Retail,122000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",Medium,retail_ops@omnistore50.com,Deploying POS failover systems,UP_19PCT,NORMAL,NONE
